time_stamp, total time, scan point size, incremental time, search time, delete size, delete time, tree size st, tree size end, add point size, preprocess time
1757701347.46381164,0.00779349,12063,0.00028331,0.00000000,0,0.00000000,6420,6427,84,0.00048749
1757701347.56386971,0.00775222,12125,0.00034210,0.00000000,0,0.00000000,6427,6484,93,0.00051143
1757701347.66386986,0.00795034,12298,0.00055857,0.00000000,0,0.00000000,6484,6434,105,0.00068320
1757701347.76394653,0.00798266,12278,0.00028230,0.00000000,0,0.00000000,6434,6497,96,0.00108699
1757701347.86378527,0.00684967,12212,0.00030741,0.00000000,0,0.00000000,6497,6479,79,0.00051667
1757701347.96388483,0.01047376,12162,0.00025117,0.00000000,0,0.00000000,6479,6507,64,0.00049869
1757701348.06371188,0.00783626,12317,0.00029179,0.00000000,0,0.00000000,6507,6559,78,0.00062931
1757701348.16373968,0.00800526,12280,0.00021100,0.00000000,0,0.00000000,6559,6564,67,0.00042886
1757701348.26392460,0.00840783,12164,0.00023082,0.00000000,0,0.00000000,6564,6552,56,0.00051510
1757701348.36378956,0.00721855,12290,0.00021395,0.00000000,0,0.00000000,6552,6597,78,0.00069095
1757701348.46377015,0.00780171,12481,0.00008913,0.00000000,0,0.00000000,6597,6482,44,0.00072073
1757701348.56382227,0.00770387,12211,0.00020925,0.00000000,0,0.00000000,6482,6539,64,0.00066003
1757701348.66370916,0.00841552,12137,0.00025690,0.00000000,0,0.00000000,6539,6573,69,0.00032059
1757701348.76382899,0.00792670,12158,0.00022428,0.00000000,0,0.00000000,6573,6612,75,0.00078686
1757701348.86384559,0.00698263,12279,0.00022049,0.00000000,0,0.00000000,6612,6635,63,0.00054309
1757701348.96380877,0.00700301,12187,0.00025851,0.00000000,0,0.00000000,6635,6647,70,0.00057830
1757701349.06380272,0.00708307,12121,0.00020580,0.00000000,0,0.00000000,6647,6676,66,0.00055152
1757701349.16380692,0.00704382,12239,0.00020700,0.00000000,0,0.00000000,6676,6688,65,0.00045738
1757701349.26393986,0.00797125,12213,0.00014157,0.00000000,0,0.00000000,6688,6724,60,0.00093012
1757701349.36404443,0.00857579,12265,0.00020463,0.00000000,0,0.00000000,6724,6755,71,0.00079612
1757701349.46370029,0.00801470,12181,0.00024472,0.00000000,0,0.00000000,6755,6786,68,0.00048755
